Title,Rating,Votes,Duration,Genre
Fureru,6.0, 25,1h 47m,Animation
Heartsping : Teenieping of Love,7.1, 24,TV-Y,Animation
SuperKlaus,4.3, 200,1h 28m,Animation
Jon Vardar protiv Galaksijata,8.2, 72,1h 26m,Animation
The Proud Princess,7.1, 110,1h 24m,Animation
Bocchi the Rock! Recap Part 1,7.6, 158,1h 30m,Animation
Peppa's Cinema Party,5.1, 153,1h 5m,Animation
Zak & Wowo: The Legend of Lendarys,5.7, 96,1h 25m,Animation
Living Large,7.0, 116,1h 20m,Animation
Sabbath Queen,8.0, 63,1h 45m,Animation
Mobile Suit Gundam SEED Freedom,6.6, 945,2h 4m,Animation
Luntik. Vozvrashchenie domoy,6.4, 74,TV-Y,Animation
Fuuto PI: Portrait of Kamen Rider Skull,7.5, 40,1h 22m,Animation
The Casagrandes Movie,5.6, 666,1h 29m,Animation
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.1, 17,1h 30m,Animation
Out of the Nest,6.5, 108,1h 24m,Animation
Olivia & the Clouds,7.3, 48,1h 21m,Animation
Kizumonogatari: Koyomi Vamp,7.0, 88,2h 24m,Animation
Mustafa,6.9, 72,1h 15m,Animation
Benjamin Bat,8.1, 28,1h 15m,Animation
Bocchi the Rock! Re: Re:,7.9, 99,1h 17m,Animation
Niko: Beyond the Northern Lights,6.2, 328,1h 26m,Animation
Dragon Ball Z Kai,8.5, 71,1h 22m,Animation
Dead Dead Demon's Dededede Destruction,7.0, 143,2h,Animation
Mariposas Negras,7.2, 50,1h 23m,Animation
Kvitebjørn,5.9, 57,1h 25m,Animation
Transformers Prime: Galavatron's Revenge,3.4, 8,1h 44m,Animation
Rock Bottom,6.9, 43,1h 26m,Animation
Boonie Bears: Time Twist,6.0, 166,1h 45m,Animation
Slocum et moi,7.3, 73,1h 15m,Animation
Tay 2: Ebabil Takimi,5.2, 38,1h 18m,Animation
A Few Moments of Cheers,7.1, 38,1h 8m,Animation
Fox & Hare Save the Forest,5.9, 199,1h 11m,Animation
Little Emma,5.8, 110,1h 46m,Animation
Il segreto di Liberato,7.3, 217,1h 30m,Animation
"Robotia, the Movie",7.7, 27,1h 26m,Animation
Askepote,3.5, 82,1h 12m,Animation
Quo Vadis,6.1, 333,1h 30m,Animation
Masha i Medved v kino: Park chudes,7.6, 17,58m,Animation
TWST: Things We Said Today,7.0, 45,1h 26m,Animation
Dikkie Dik en de Verdwenen Knuffel,7.3, 130,1h 2m,Animation
The Worlds Divide,8.0, 38,2h,Animation
Abá e Sua Banda,7.9, 7,1h 24m,Animation
"Maya, donne-moi un titre",6.4, 52,1h 1m,Animation
Uma Musume: Pretty Derby - Beginning of a New Era,7.3, 118,1h 48m,Animation
Captain Avispa,5.8, 174,1h 36m,Animation
Inanimate Insanity II: The Movie,8.4, 231,1h 46m,Animation
Transformers: 40th Anniversary Event,7.2, 28,1h 36m,Animation
PAPmusic - Animation for Fashion,1.0, 134,1h 25m,Animation
Kuramerukagari,5.8, 80,1h 1m,Animation
Bizarros Peixes das Fossas Abissais,8.1, 13,1h 15m,Animation
Si Juki the Movie: Harta Pulau Monyet,6.0, 116,1h 47m,Animation
Rocky and Bullwinkle,9.1, 12,1h 40m,Animation
Pui Pui Molcar the Movie: Molmax,7.0, 9,1h 9m,Animation
The Storm,6.0, 139,1h 42m,Animation
Tri kota. Zimnie kanikuly,6.5, 30,1h 5m,Animation
Motu Patlu & The Race to the Diamond Valley,7.8, 27,1h 12m,Animation
Woolina and the No Birds,8.4, 43,1h 20m,Animation
Nie Xiaoqian,6.4, 16,1h 52m,Animation
Code Geass: Rozé of the Recapture - Part 1,7.7, 41,1h 14m,Animation
The Formula for Water,4.5, 31,1h 26m,Animation
Animal Tales of Christmas Magic,6.8, 50,1h 12m,Animation
Meitantei Conan Bâsasu Kaitô Kiddo,6.1, 159,1h 21m,Animation
Motu Patlu & The Rise of Zombies,6.6, 15,1h 14m,Animation
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4, 72,1h 10m,Animation
Nature Cat's Nature Movie Special Extraordinaire,7.3, 19,53m,Animation
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8, 32,1h 11m,Animation
Sunburnt Unicorn,7.2, 11,1h 21m,Animation
Rocket Club: Across the Cosmos,8.4, 19,1h 8m,Animation
Nothing Unusual,9.7, 12,1h 32m,Animation
Double Tuckerr,5.0, 1.2K,2h,Animation
Steal the Naughty List,6.4, 119,1h 30m,Animation
Le parfum d'Irak,8.1, 42,1h 35m,Animation
Rafadan Tayfa: Kapadokya,6.7, 118,1h 24m,Animation
Into the Mortal World,6.8, 152,1h 58m,Animation
God with Three Eyes,6.1, 14,1h 52m,Animation
Norbert,6.6, 12,1h 15m,Animation
The Umbrella Fairy,5.6, 50,1h 35m,Animation
Yumi's Cells: The Movie,6.2, 49,1h 33m,Animation
Maxxie LaWow: Drag Super-shero,8.7, 58,1h 54m,Animation
"Silex and the City, le film",4.9, 50,1h 17m,Animation
Hello My Beautiful Creatures,6.8, 170,2h 22m,Animation
Tobias and the Arcane Merchant,9.0, 43,2h 47m,Animation
The Greatest Surf Movie in the Universe,5.4, 8,1h 21m,Animation
Bob a Bobek ve filmu: Na stope Mrkvojeda,8.7, 18,1h 20m,Animation
Tri bogatyrya. Ni dnya bez podviga,5.7, 67,1h 1m,Animation
Dead Dead Demon's Dededede Destruction Zenpen,7.1, 138,2h,Animation
Riki Rhino: The Bird Kingdom,5.1, 24,1h 49m,Animation
The Delegator,4.2, 17,1h 36m,Animation
Appu,8.6, 181,1h 32m,Animation
Uma & Haggen: Mitos,7.5, 46,1h 34m,Animation
Astra,6.8, 8,1h 20m,Animation
Mobile Suit Gundam: Silver Phantom,6.1, 13,1h 30m,Animation
2475 Dawn of Revolution,6.3, 152,2h 7m,Animation
Code Geass: Rozé of the Recapture: Part 2,8.0, 27,1h 16m,Animation
Gujeyeog-eseo sal-a dol-aon dwaeji,5.1, 10,1h 45m,Animation
Velký Pán,7.0, 8,1h 13m,Animation
Bartali's Bicycle,7.8, 5,1h 20m,Animation
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.0, 9,50m,Animation
Sirds likums,6.8, 17,1h 5m,Animation
Code Geass: Rozé of the Recapture: Part 3,7.6, 24,1h 16m,Animation
The Ballad of Straw Hat Sam,9.2, 10,45m,Animation
Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,7.3, 13,59m,Animation
Lilla spöket Laban spökar igen,6.2, 25,44m,Animation
Max Beyond,6.6, 17,1h 33m,Animation
The Car Acrobatic Team Saga,7.2, 10,1h 52m,Animation
Code Geass: Rozé of the Recapture: Part 4,7.0, 14,1h 10m,Animation
Pleasant Goat and Big Big Wolf: The World Guardians,7.2, 12,1h 36m,Animation
Zuzubalândia: O Filme,5.6, 10,1h,Animation
Luv You Shankar,5.8, 43,2h,Animation
Arne Alligator och djungelkompisarna,4.6, 48,1h 1m,Animation
Day of the Diesels,7.7, 10,1h 40m,Animation
Ninja Doomscrolling,8.1, 102,1h 36m,Animation
Ya Boy Kongming! Road to Summer Sonia,7.5, 39,1h 59m,Animation
Let's Go! Anpanman: Baikinman and Lulun,6.5, 7,1h 4m,Animation
Ugly Sweater,7.1, 13,1h 20m,Animation
Gintama the Movie 2D: Courtesan of the Nation Arc,7.8, 5,1h 49m,Animation
Nasreddin Hoca: Zaman Yolcusu - Kadim Medeniyetler,7.7, 12,1h 18m,Animation
Terra Incognita 1901,9.2, 14,1h 18m,Animation
Turbozavry. God drakona,9.2, 43,48m,Animation
LUDA,7.2, 6,1h 26m,Animation
Ekip: Siberay - Günes Firtinasi,6.0, 14,1h 12m,Animation
"Hey, Tete",6.4, 9,2h 31m,Animation
Skazochnyy patrul. Shou prodolzhayetsya,7.2, 11,1h 5m,Animation
Isle: Alpha One,8.4, 7,1h 37m,Animation
Bie ba zuo wen dang hui shi er,7.2, 11,1h 29m,Animation
