Title,Rating,Votes,Duration,Genre
"I, the Executioner",6.3, 1.7K,1h 58m,Action
Dominique,5.3, 2.2K,1h 40m,Action
Devara Part 1,6.0, 20K,2h 56m,Action
A Legend,4.7, 896,2h 9m,Action
Rogue Elements: A Ryan Drake Story,4.7, 963,44m,Action
The Clean Up Crew,4.1, 1.1K,1h 35m,Action
Alien: Rubicon,2.4, 338,1h 26m,Action
The Courier,6.0, 4.4K,1h 41m,Action
Joe Baby,7.3, 30,1h 26m,Action
Dan Da Dan: First Encounter,8.2, 2.7K,1h 23m,Action
Officer Black Belt,6.8, 8.2K,1h 48m,Action
Badland Hunters,5.9, 12K,1h 47m,Action
Hounds of War,4.5, 1.8K,1h 35m,Action
Rifle Club,7.0, 4.2K,1h 53m,Action
Utopia,3.6, 359,1h 31m,Action
Night Call,6.8, 1.9K,1h 37m,Action
Hagen,6.1, 1.2K,2h 19m,Action
Ultraman: Rising,6.9, 6.3K,1h 57m,Action
Mafia Wars,3.4, 237,1h 34m,Action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, 8.5K,1h 44m,Action
Dark Match,5.4, 939,1h 34m,Action
Cesium Fallout,6.5, 643,2h 16m,Action
Death Whisperer 2,6.4, 1.4K,1h 50m,Action
Anaconda,4.9, 631,1h 24m,Action
The Price of Money: A Largo Winch Adventure,5.0, 1.1K,1h 40m,Action
Fighter,6.2, 52K,2h 46m,Action
Kill Em All 2,4.1, 1.3K,1h 28m,Action
Darkness of Man,4.8, 3.2K,1h 49m,Action
Code 8: Part II,5.7, 16K,1h 40m,Action
Handsome Guys,6.5, 818,1h 41m,Action
Vanvaas,6.6, 1.3K,2h 40m,Action
Bougainvillea,6.4, 3.1K,2h 18m,Action
Air Force One Down,4.4, 2.9K,1h 24m,Action
Zero,6.3, 51,1h 28m,Action
Sunray: Fallen Soldier,4.3, 629,1h 55m,Action
Simarik,6.4, 2.6K,1h 51m,Action
Devil's Knight,5.2, 862,1h 30m,Action
Raqa,5.7, 189,1h 47m,Action
Pani,6.9, 3K,2h 23m,Action
Striking Rescue,5.6, 391,1h 46m,Action
One Fast Move,5.0, 2.2K,1h 48m,Action
Bangkok Dog,5.0, 169,1h 25m,Action
Angels Fallen: Warriors of Peace,4.9, 5.8K,1h 43m,Action
Overlord: The Sacred Kingdom,6.9, 932,2h 15m,Action
The Family Star,5.4, 5.4K,2h 39m,Action
The Last Kumite,4.6, 2.3K,1h 45m,Action
Article 370,7.8, 25K,2h 38m,Action
Life After Fighting,6.4, 2K,2h 6m,Action
The Tiger's Apprentice,5.7, 2.2K,1h 24m,Action
Agni,7.2, 15K,2h 2m,Action
Agent Recon,2.4, 671,1h 25m,Action
Justice League: Crisis on Infinite Earths - Part Two,5.5, 5.3K,1h 34m,Action
London Calling,7.8, 20,1h 49m,Action
Arena Wars,4.8, 2.1K,1h 36m,Action
Black Heat,8.6, 117,1h 33m,Action
Lights Out,4.9, 1.8K,1h 30m,Action
Latency,4.2, 2.5K,1h 34m,Action
Elyas,6.1, 1.4K,1h 45m,Action
City Hunter,6.3, 5.6K,1h 42m,Action
Freedom,5.9, 1.4K,1h 50m,Action
Yolo,6.9, 3.7K,2h 9m,Action
Die Hart 2: Die Harter,4.3, 5.5K,1h 32m,Action
Wynonna Earp: Vengeance,5.6, 1.5K,1h 36m,Action
Operation Undead,4.7, 399,1h 50m,Action
The Twisters,2.5, 332,1h 26m,Action
Rats!,6.5, 119,1h 25m,Action
Sixty Minutes,5.7, 5.2K,1h 28m,Action
Yodha,5.7, 8.8K,2h 10m,Action
Golden Kamuy,6.3, 2.6K,2h 7m,Action
11 Rebels,6.2, 372,2h 35m,Action
Operation Blood Hunt,3.4, 481,1h 33m,Action
Nice Girls,4.2, 1.2K,1h 32m,Action
Paradox Effect,6.0, 8.6K,1h 27m,Action
Heart of the Hunter,4.7, 2.2K,1h 45m,Action
Hijack 1971,6.8, 3.3K,1h 40m,Action
Everybody Loves Jenifa,8.3, 84,2h 15m,Action
Alien Country,4.4, 363,1h 36m,Action
Vettaiyan,7.0, 39K,2h 43m,Action
Wanted Man,4.8, 2.6K,1h 25m,Action
Khadaan,7.2, 2.1K,2h 17m,Action
Escape,6.4, 2K,1h 34m,Action
The Greatest of All Time,5.7, 22K,3h 3m,Action
WWII: Operation Phoenix,6.2, 74,1h 46m,Action
Ferry 2,5.6, 3.8K,1h 34m,Action
Snow White and the Seven Samurai,3.2, 291,1h 28m,Action
Murder Company,3.7, 1.5K,1h 26m,Action
The Last of Us: Immunity,5.9, 16,1h 4m,Action
Saripodhaa Sanivaaram,7.0, 9K,2h 46m,Action
The Hangman,3.3, 1K,1h 32m,Action
Savi,6.1, 35K,2h 6m,Action
Sorgavaasal,6.6, 1.3K,2h 18m,Action
Fight Another Day,4.9, 349,1h 37m,Action
A.R.M,7.1, 8.7K,2h 30m,Action
How to Rob a Bank,6.6, 4.2K,1h 28m,Action
The Last Front,5.5, 609,1h 38m,Action
The Lockdown,4.3, 608,1h 57m,Action
Terminator: Skynet Rising,6.7, 265,1h 28m,Action
40 Acres,6.8, 129,1h 53m,Action
Raayan,6.5, 11K,2h 25m,Action
Bionic,4.3, 1.7K,1h 50m,Action
The Actor,3.4, 727,2h 8m,Action
Kanguva,4.5, 15K,2h 32m,Action
Bade Miyan Chote Miyan,3.8, 39K,2h 43m,Action
Pusaka,5.8, 80,1h 30m,Action
"Love, Courage and the Battle of Bushy Run",5.0, 181,1h 53m,Action
Drive Back,4.8, 304,1h 34m,Action
72 Hours,4.1, 286,1h 27m,Action
Vedaa,6.0, 4.3K,2h 25m,Action
Troubleshooters,6.6, 415,1h 50m,Action
12 to Midnight,3.6, 283,1h 36m,Action
200% Wolf,5.9, 1.3K,1h 38m,Action
Jacob Tyler,4.3, 56,2h 13m,Action
Chandu Champion,7.8, 34K,2h 22m,Action
The Ballad of Davy Crockett,4.6, 246,1h 36m,Action
Bagheera,6.7, 7.3K,2h 38m,Action
KA,7.1, 1.6K,2h 31m,Action
Outlaw,5.2, 926,1h 22m,Action
Mura,7.3, 6.2K,2h 9m,Action
Black Creek,7.3, 8,1h 56m,Action
The Last Ronin,4.8, 571,1h 55m,Action
Thangalaan,6.6, 6.6K,2h 36m,Action
Guntur Kaaram,5.4, 25K,2h 39m,Action
Get Fast,3.7, 454,1h 28m,Action
GTMax,5.0, 1.2K,1h 40m,Action
Kingdom 4: Return of the Great General,7.1, 1.3K,2h 25m,Action
Shark Warning,3.4, 266,1h 34m,Action
Ryan's World the Movie: Titan Universe Adventure,1.8, 689,1h 20m,Action
Roadkill,3.7, 679,1h 30m,Action
The Friendly,8.1, 15,1h 41m,Action
The Lost Tiger,7.8, 44,1h 30m,Action
Eagle,5.9, 4.9K,2h 39m,Action
Hellhound,4.3, 506,1h 43m,Action
Max,7.1, 3.3K,2h 12m,Action
Don't Mess with Grandma,6.0, 152,1h 21m,Action
Continental Split,3.6, 545,1h 28m,Action
Cassino in Ischia,4.4, 241,1h 53m,Action
Eye for an Eye 2,6.6, 504,1h 30m,Action
Pimpinero: Blood and Oil,5.6, 547,2h 1m,Action
Tillu Square,6.6, 3.4K,2h 17m,Action
Big City Greens the Movie: Spacecation,6.2, 539,1h 23m,Action
Agents,3.4, 930,1h 22m,Action
Spiders on a Plane,5.1, 371,1h 18m,Action
Alienoid: The Return to the Future,6.5, 2.6K,2h 2m,Action
War of the Worlds: Extinction,3.1, 204,1h 24m,Action
Big Rage,3.6, 165,1h 55m,Action
The Charisma Killers,6.3, 654,1h 41m,Action
Conquer: Lahad Datu,6.6, 509,2h,Action
Invasion,4.8, 674,1h 31m,Action
Bad Boyz,3.7, 635,2h 30m,Action
Mission: Cross,6.1, 2.6K,1h 45m,Action
Cells at Work!,6.8, 214,1h 49m,Action
Ayalaan,6.0, 4K,2h 35m,Action
Purushothamudu,5.1, 2.2K,2h,Action
I Am What I Am 2,7.5, 201,2h 14m,Action
Ka Whawhai Tonu,7.4, 177,1h 55m,Action
Razakar: The Silent Genocide of Hyderabad,7.4, 5.3K,2h 46m,Action
Auron Mein Kahan Dum Tha,6.5, 41K,2h 30m,Action
Ghosts of Red Ridge,3.3, 155,1h 21m,Action
Crisis Negotiators,6.7, 713,2h,Action
Bidurbhai,9.2, 379,2h 28m,Action
Hunting with Tigers,5.6, 529,1h 49m,Action
Dirty Money,5.6, 127,1h 40m,Action
Hunt the Wicked,5.3, 111,1h 42m,Action
Martin,2.2, 36K,2h 27m,Action
American Underdog,8.7, 24,1h 29m,Action
Customs Frontline,5.5, 484,1h 55m,Action
Rajakili,6.8, 580,2h 2m,Action
Tales Beyond the Galaxy,4.7, 176,1h 16m,Action
School of Magical Animals 3,5.8, 308,1h 45m,Action
Exorcism Chronicles: The Beginning,7.2, 97,1h 25m,Action
UI,6.8, 5.7K,2h 15m,Action
Six jours,6.4, 101,1h 35m,Action
Kahar: Kapla High Council,6.9, 455,1h 42m,Action
I Heart Robots,4.6, 2.4K,1h 16m,Action
Art of Eight Limbs,3.9, 313,1h 41m,Action
Je Jatt Vigarh Gya,5.7, 823,2h 12m,Action
Bachhala Malli,8.3, 3.9K,2h 20m,Action
Taken from Rio Bravo,3.0, 314,1h 20m,Action
Bloody Escape: Bats out of Hell,5.7, 38,1h 40m,Action
Escape from the 21st Century,6.5, 869,1h 38m,Action
Citizen of a Kind,6.7, 813,1h 54m,Action
Sheriff,6.9, 1.1K,2h 13m,Action
Lady Scorpions,3.6, 367,1h 41m,Action
Non Negotiable,5.4, 1.2K,1h 27m,Action
The Unbreakable Bunch,7.2, 26,R,Action
No Time to Spy: A Loud House Movie,6.4, 447,1h 21m,Action
Sasan,8.6, 67,2h 35m,Action
The Moon Thieves,6.1, 248,1h 48m,Action
Deaner '89,5.9, 416,1h 30m,Action
Bonus Trip,4.5, 225,1h 53m,Action
Yudhra,5.0, 13K,2h 22m,Action
Drive,5.6, 326,1h 30m,Action
Bureau 749,4.1, 522,2h 3m,Action
Baby Assassins: Nice Days,7.3, 299,1h 43m,Action
Mongol,8.6, 93,2h 35m,Action
Ape X Mecha Ape: New World Order,2.8, 134,1h 27m,Action
Fighting the Fire,8.5, 1.7K,1h 55m,Action
Midas,4.7, 339,1h 25m,Action
Go for Broke,5.7, 272,1h 55m,Action
Anunnakiler,2.5, 449,1h 16m,Action
Paradise,6.9, 78,1h 23m,Action
Baki Hanma VS Kengan Ashura,5.7, 1.9K,1h 2m,Action
Love You to Debt,6.2, 758,2h 15m,Action
Mission: Chapter 1,5.9, 1.7K,2h 24m,Action
Formed Police Unit,4.6, 475,2h,Action
6 Hours Away,3.9, 243,1h 33m,Action
Bonnie,7.4, 35,2h,Action
Garudan,7.1, 3.3K,2h 13m,Action
Ghost Killer,7.1, 70,1h 45m,Action
Game On,5.3, 2.3K,2h 20m,Action
Crakk: Jeetega... Toh Jiyegaa,4.7, 6.5K,2h 34m,Action
Warrior Awang and Master Tok Gajah,4.6, 474,1h 58m,Action
Kill Craft,2.4, 365,1h 39m,Action
S.T.A.L.K.E.R.: Shadow of the Zone,5.2, 461,1h 12m,Action
Jathara,7.8, 1.1K,2h 9m,Action
Lal Salaam,4.5, 1.3K,2h 30m,Action
Shark Island,3.2, 115,1h 21m,Action
Ameena,6.4, 19,1h 47m,Action
Malayalee from India,5.6, 5K,2h 40m,Action
Barroz: Guardian of Treasures,3.5, 995,2h 35m,Action
Alangu,8.2, 1.2K,2h 11m,Action
Mummy Shark,2.0, 177,1h 6m,Action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.1, 658,2h 54m,Action
Jithender Reddy,7.5, 2.4K,2h 16m,Action
Buying Time,5.9, 377,1h 24m,Action
Sons of Rizk 3,6.7, 1.7K,2h 5m,Action
Red vs. Blue: Restoration,5.6, 136,1h 25m,Action
