Title,Rating,Votes,Duration,Genre
Giannis: The Marvelous Journey,8.3, 1.7K,1h 49m,documentary
The Ark and the Darkness,5.3, 499,2h 5m,documentary
From Russia with Lev,8.2, 872,1h 32m,documentary
Agent of Happiness,7.2, 1.1K,1h 33m,documentary
Wishing on a Star,6.7, 144,1h 39m,documentary
The Last of the Sea Women,7.0, 629,1h 27m,documentary
Freediver,6.8, 105,1h 28m,documentary
Missing from Fire Trail Road,7.0, 81,1h 41m,documentary
Viktor,8.4, 78,1h 29m,documentary
Intercepted,8.2, 542,1h 35m,documentary
Two Strangers Trying Not to Kill Each Other,7.3, 91,1h 40m,documentary
Fly,7.2, 589,1h 50m,documentary
The Day Iceland Stood Still,8.4, 80,1h 10m,documentary
Youth (Hard Times),7.4, 84,3h 47m,documentary
Money Electric: The Bitcoin Mystery,6.8, 4.6K,1h 40m,documentary
The Cats of Gokogu Shrine,7.4, 97,1h 59m,documentary
They Called Him Mostly Harmless,5.9, 3.2K,1h 29m,documentary
Bogart: Life Comes in Flashes,6.9, 413,1h 39m,documentary
Blue Road: The Edna O'Brien Story,8.1, 44,1h 39m,documentary
God & Country,6.3, 1.2K,1h 30m,documentary
Lula,5.6, 186,1h 30m,documentary
The Antisocial Network: Memes to Mayhem,6.4, 2.6K,1h 25m,documentary
Flynn,5.0, 493,2h 6m,documentary
Made in England: The Films of Powell and Pressburger,7.9, 1.3K,2h 11m,documentary
Kix,7.9, 1.1K,1h 34m,documentary
Playing to Survive: von Cramm vs Hitler,9.4, 11,1h 41m,documentary
Federer: Twelve Final Days,7.3, 4.1K,1h 28m,documentary
Secrets of the Neanderthals,6.4, 2.6K,1h 20m,documentary
Lady Like,6.6, 97,1h 27m,documentary
An American Bombing: The Road to April 19th,6.8, 904,1h 47m,documentary
Dinner with Leatherface,7.6, 26,1h 46m,documentary
Eno,7.9, 304,1h 25m,documentary
Johatsu: Into Thin Air,6.5, 189,1h 26m,documentary
Stormy,6.4, 1.1K,1h 49m,documentary
War Game,5.5, 621,1h 34m,documentary
RRR: Behind & Beyond,8.1, 312,1h 38m,documentary
Screams Before Silence,6.1, 9.8K,57m,documentary
Jurnal Risa by Risa Saraswati,4.4, 289,1h 32m,documentary
I Need You: 53 Years of the Band America,10, 6,1h 33m,documentary
DIG! XX,8.0, 81,2h 26m,documentary
Apocalypse in the Tropics,7.5, 95,1h 50m,documentary
The Killing Roads,7.7, 236,1h 55m,documentary
Our Blue World: A Water Odyssey,6.7, 21,1h 30m,documentary
The Last Republican,7.6, 73,1h 30m,documentary
I Am Martin Parr,7.2, 95,1h 8m,documentary
Food for Profit,7.5, 282,1h 30m,documentary
State Organs,6.9, 243,1h 15m,documentary
Antidote,8.2, 67,1h 29m,documentary
Rise of OnlyFans,4.5, 159,52m,documentary
Apple Cider Vinegar,6.8, 68,1h 20m,documentary
Becoming Madonna,6.9, 211,1h 31m,documentary
Faye,7.1, 3.1K,1h 31m,documentary
The Invasion,5.5, 104,2h 25m,documentary
The Great Warning,5.8, 125,1h 30m,documentary
Family Secrets: The Disappearance of Alissa Turney,6.6, 319,1h 24m,documentary
Union,7.2, 262,1h 40m,documentary
To Dye For: The Documentary,6.2, 258,1h 24m,documentary
Return of the King: The Fall and Rise of Elvis Presley,7.6, 1.9K,1h 30m,documentary
The Truth vs. Alex Jones,7.5, 3K,2h 1m,documentary
I'm Your Venus,8.6, 39,1h 25m,documentary
E.1027 - Eileen Gray and the House by the Sea,7.0, 101,1h 29m,documentary
Born Hungry,7.5, 30,1h 17m,documentary
Becoming Hitchcock: The Legacy of Blackmail,7.2, 258,1h 12m,documentary
"Thank You, Dr. Fauci",6.8, 510,1h 31m,documentary
Bad River,7.9, 75,1h 28m,documentary
ChiefsAholic: A Wolf in Chiefs Clothing,6.2, 375,2h 1m,documentary
Ms. President,8.0, 176,1h 48m,documentary
"MoviePass, MovieCrash",6.7, 2.8K,1h 36m,documentary
The Greatest Love Story Never Told,5.0, 1.5K,1h 26m,documentary
Doc of Chucky,7.6, 272,4h 55m,documentary
To the Journey: Looking Back at Star Trek: Voyager,9.6, 10,1h 49m,documentary
El último viaje,5.0, 10,1h 35m,documentary
Twiggy,7.5, 69,1h 34m,documentary
Fiore mio,6.9, 131,1h 20m,documentary
De wilde Noordzee,7.3, 324,1h 28m,documentary
Wild Wild Space,6.8, 570,1h 33m,documentary
Art Spiegelman: Disaster Is My Muse,8.0, 22,1h 38m,documentary
XiXi,6.8, 15,1h 40m,documentary
Counted Out,7.3, 11,1h 29m,documentary
Banned Together,9.9, 14,1h 33m,documentary
Separated,6.6, 183,1h 33m,documentary
Andrea Bocelli 30: The Celebration,8.2, 153,2h 28m,documentary
Nayanthara: Beyond the Fairy Tale,3.9, 739,1h 21m,documentary
New Wave,7.9, 46,1h 28m,documentary
Incandescence,6.9, 27,1h 45m,documentary
Reptilians,2.5, 92,1h 16m,documentary
La guitarra flamenca de Yerai Cortés,7.3, 230,1h 35m,documentary
"Lumière, l'aventure continue",7.8, 102,1h 44m,documentary
Monkey on a Stick,6.8, 48,1h 45m,documentary
Veselka: The Rainbow on the Corner at the Center of the World,7.2, 164,1h 46m,documentary
Lover of Men: The Untold History of Abraham Lincoln,5.2, 183,1h 51m,documentary
RUNN,8.3, 78,56m,documentary
Elizabeth Taylor: The Lost Tapes,7.4, 1.1K,1h 40m,documentary
Ski,7.7, 64,1h 35m,documentary
Interview with the Extraterrestrial,5.2, 36,1h 30m,documentary
The True Story of Tamara de Lempicka & The Art of Survival,8.9, 35,1h 36m,documentary
Nocturnes,6.9, 119,1h 22m,documentary
Blur: To the End,7.2, 672,1h 44m,documentary
No Cap,5.7, 37,1h 48m,documentary
Ransom '79,9.1, 21,1h 27m,documentary
Diane Warren: Relentless,7.4, 61,1h 31m,documentary
SUGA: Agust D Tour 'D-DAY' the Movie,8.1, 1.2K,1h 24m,documentary
ABBA: Against the Odds,7.4, 408,1h 30m,documentary
Diddy: Summit to Plummet,2.2, 201,1h,documentary
Battle for Disclosure,5.3, 213,2h 21m,documentary
A nuestros amigos,7.8, 12,1h 30m,documentary
Trapped,8.8, 13,1h 22m,documentary
Zero Se Restart,7.0, 109,1h 28m,documentary
Underdog: The Andy Swallow Story,6.1, 71,1h 58m,documentary
So Long,6.9, 43,1h 3m,documentary
Fanatical: The Catfishing of Tegan and Sara,6.4, 730,1h 39m,documentary
Source,8.2, 71,52m,documentary
The Stimming Pool,6.9, 28,1h 10m,documentary
The Other Side,5.9, 269,1h 37m,documentary
Spermworld,7.0, 1.3K,1h 24m,documentary
Plastic People,7.0, 145,1h 24m,documentary
In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,8.1, 114,6h 3m,documentary
Yo Yo Honey Singh: Famous,6.8, 5K,1h 20m,documentary
Zurawski v Texas,8.3, 74,1h 38m,documentary
Eternal You,6.3, 229,1h 27m,documentary
Lesvia,7.5, 95,1h 18m,documentary
The 1916 Project,7.5, 65,1h 16m,documentary
Deadly Love: Bobby & Whitney,3.6, 19,1h,documentary
Jamie Foxx: What Had Happened Was...,5.8, 2K,1h 8m,documentary
Youth (Homecoming),7.2, 71,2h 32m,documentary
The Last Keeper,5.2, 23,1h 30m,documentary
The Honey Trap,5.6, 167,1h 22m,documentary
Elevation,9.0, 66,1h 30m,documentary
